RPPS,Nom,Prenom,FINESS,RaisonSociale,Commune,LibCommune,CodePostal,Specialite,Etablissement
810100846178,LOTITO,BRUNELLE,,CABINET DU DR BRUNELLE LOTITO,33527,Le Teich,33470,Spécialiste en Médecine Générale,non
810002774783,FREY,OLIVIER,,CABINET DU DR OLIVIER FREY,33240,Lesparre-Médoc,33340,Spécialiste en Médecine Générale,non
810100154748,SAUSSAC-PIETRI,CAMILLE,330781352,HOPITAL SAINT-ANDRE - CHU,33063,Bordeaux,33075,Spécialiste en Médecine Générale,oui
810100543452,SAGNIER,SHARMILA,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810002777687,TANGUY,SERGE,,CABINET DU DR SERGE TANGUY,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002744679,BRAHAMI,GUY,,CABINET DU DR GUY BRAHAMI,33119,Cenon,33150,Spécialiste en Médecine Générale,non
810003849832,MONTELS,MICHEL,,CABINET DU DR MICHEL MONTELS,33498,Salles,33770,Spécialiste en Médecine Générale,non
810004412267,PAGET,FABIENNE,,CABINET DU DR FABIENNE PAGET,33071,Branne,33420,Spécialiste en Médecine Générale,non
810100271781,MARTIAL,MAUD,330780370,LES FONTAINES DE MONJOUS - SSR,33192,Gradignan,33173,Spécialiste en Médecine Générale,oui
810100186138,KINOUANI,SHERAZADE,,CABINET DU DR WILLIAM DURIEUX,33523,Targon,33760,Spécialiste en Médecine Générale,non
810002745296,VIALA,ROBERT,,CABINET DU DR ROBERT VIALA,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810100705960,PICARD,SOPHIE,,CABINET DU DR SOPHIE PICARD,33122,Cestas,33610,Spécialiste en Médecine Générale,non
810002776473,BROUCAS,FABRICE,,CABINET DU DR FABRICE BROUCAS,33119,Cenon,33150,Spécialiste en Médecine Générale,non
810002901154,HEVIN,JEAN-FRANCOIS,330058272,CENTRE MUNICIPAL DE SANTE D'ARCACHON,33009,Arcachon,33311,Spécialiste en Médecine Générale,oui
810100705986,NOTARI,MARC-ANTOINE,,CABINET DU DR ANNE FOURN,33138,Coutras,33230,Spécialiste en Médecine Générale,non
810100809101,DUQUENOY,RAPHAEL,330000662,INSTITUT BERGONIE,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810100615458,BIRABEN,FRANCK,,CABINET DU DR FRANCK BIRABEN,33051,Biganos,33380,Spécialiste en Médecine Générale,non
810100930014,THANACODY,SAMMY,,CABINET DU DR SAMMY THANACODY,33243,Libourne,33500,Spécialiste en Médecine Générale,non
810005191860,ALY,ANTOINE,,CABINET DU DR ANTOINE ALY,33167,Floirac,33270,Spécialiste en Médecine Générale,non
810100154771,BIENVENU,CATHERINE,,CABINET DU DR DIDIER CUGY,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810001681062,VAN ACKER,AGNES,,CABINET DU DR AGNES VAN ACKER,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002733698,PELISSIER,PATRICK,330797960,EHPAD LES MAGNOLIAS,33051,Biganos,33380,Spécialiste en Médecine Générale,oui
810002771847,VEAUX,ISABELLE,330802356,CENTRE DEPARTEMENTAL PMI,33063,Bordeaux,33074,Spécialiste en Médecine Générale,oui
810002744257,GEFFRAULT,MICHEL,,CABINET DU DR MICHEL GEFFRAULT,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002772423,NEUFFER,HERMANN,,CABINET DU DR HERMANN NEUFFER,33063,Bordeaux,33100,Spécialiste en Médecine Générale,non
810001969111,ORLIK,DELPHINE,,CABINET DU DR DELPHINE ORLIK,33227,Langon,33210,Spécialiste en Médecine Générale,non
810002132370,LEMAITRE,FRANCK,,CABINET DU DR FRANCK LEMAITRE,33039,Bègles,33130,Spécialiste en Médecine Générale,non
810004587746,SENIS,FREDERIC,330780529,CLINIQUE MUTUALISTE DE PESSAC,33318,Pessac,33608,Spécialiste en Médecine Générale,oui
810002773066,CAZALS,PHILIPPE,330799263,EHPAD  LA CHENERAIE,33063,Bordeaux,33200,Spécialiste en Médecine Générale,oui
810100105187,OLAZCUAGA,MAITE,330802356,CENTRE DEPARTEMENTAL PMI,33063,Bordeaux,33074,Spécialiste en Médecine Générale,oui
810100617538,PIFFAUT,CORALIE,330781337,HOPITAL XAVIER ARNOZAN - CHU,33318,Pessac,33604,Spécialiste en Médecine Générale,oui
810003854865,BOUBEKEUR,HAMIDA,,CABINET DU DR HAMIDA BOUBEKEUR,33227,Langon,33210,Spécialiste en Médecine Générale,non
810100602118,NGOUNOU FOGUE,CHANCEL,330780529,CLINIQUE MUTUALISTE DE PESSAC,33318,Pessac,33608,Spécialiste en Médecine Générale,oui
810100096279,LEROY,BENJAMIN,,CABINET DU DR BENJAMIN LEROY,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002741766,MICHOTTE,JEAN-MARIE,,CABINET DU DR JEAN-MARIE MICHOTTE,33063,Bordeaux,33200,Spécialiste en Médecine Générale,non
810100436772,BOUCHOUAREB,ZAARA,,CABINET DU DR ZAARA BOUCHOUAREB,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810100401925,VERSMEE,GREGOIRE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810002814738,DU BOURGUET,ARNAUD,,SELARL DU DOCTEUR ARNAUD DU BOURGUET,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002762499,DEYNOUX,JEAN,,CABINET DU DR JEAN DEYNOUX,33005,Andernos-les-Bains,33510,Spécialiste en Médecine Générale,non
810002778107,RIBIERE-BACHELIER,CATHERINE,,CABINET DU DR CATHERINE RIBIERE-BACHELIER,33243,Libourne,33500,Neurologie,non
810100433944,GUILHON,JEREMY,,CABINET DU DR JEREMY GUILHON,33081,Cadillac,33410,Spécialiste en Médecine Générale,non
810002314614,DEBETTE,STEPHANIE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810100858454,JACQUEMIN,RENAUD,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810002746849,LATASTE,ALAIN,330000589,CH SUD GIRONDE - SITE LANGON,33227,Langon,33212,Spécialiste en Médecine Générale,oui
810003817037,HAUSS,PIERRE,,CABINET DU DR PIERRE HAUSS,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810101111044,COWPPLI-BONY-KWASSY,PASCALE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810002766367,PANAJOL,VERONIQUE,330792748,CENTRE DE SANTE MEDICAL GALLIENI,33063,Bordeaux,33082,Spécialiste en Médecine Générale,oui
810100402493,BROQUAIRE,MARIE,330802356,CENTRE DEPARTEMENTAL PMI,33063,Bordeaux,33074,Spécialiste en Médecine Générale,oui
810002743135,FAUGERE,CHRISTIAN,,CABINET DU DR CHRISTIAN FAUGERE,33322,Le Pian-Médoc,33290,Spécialiste en Médecine Générale,non
810100326833,HOFMANN,PAULINE,330000589,CH SUD GIRONDE - SITE LANGON,33227,Langon,33212,Spécialiste en Médecine Générale,oui
810100184513,MUZARD,LUDIVINE,330780529,CLINIQUE MUTUALISTE DE PESSAC,33318,Pessac,33608,Spécialiste en Médecine Générale,oui
810002773942,DUPONT-BISCAYE,CATHERINE,,CABINET DU DR CATHERINE DUPONT-BISCAYE,33337,Preignac,33210,Spécialiste en Médecine Générale,non
810002762648,GARCIA,SYLVERE,,CABINET DU DR SYLVERE GARCIA,33322,Le Pian-Médoc,33290,Spécialiste en Médecine Générale,non
810002812609,DOUSSET,VIRGINIE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810003990222,CHOMIENNE,MATHIEU,,CABINET DU DR MATHIEU CHOMIENNE,33162,Eysines,33320,Spécialiste en Médecine Générale,non
810002775905,TOSTAIN,VINCENT,,CABINET DU DR VINCENT TOSTAIN,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002774890,COQUIBUS,ODILE,,CABINET DU DR ODILE COQUIBUS,33063,Bordeaux,33000,Neurologie,non
810002937471,LE BRUN,THIERRY,330782707,EHPAD SAINT DOMINIQUE,33009,Arcachon,33120,Spécialiste en Médecine Générale,oui
810002776549,LABE,LAURENT,,CABINET DU DR LAURENT LABE,33334,Portets,33640,Spécialiste en Médecine Générale,non
810002766946,GARRA,HENRI,,CABINET DU DR HENRI GARRA,33324,Pineuilh,33220,Spécialiste en Médecine Générale,non
810002829306,SAGET,JEREMY,,CABINET DU DR JEREMY SAGET,33449,Saint-Médard-en-Jalles,33160,Spécialiste en Médecine Générale,non
810003465852,SCHELLER,DOMINIQUE,,CABINET DU DR DOMINIQUE SCHELLER,33522,Talence,33400,Spécialiste en Médecine Générale,non
810004039292,DEBRUXELLES,SABRINA,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810002757291,MENAUTHON,GERARD,,CABINET DU DR GERARD MENAUTHON,33080,Cadaujac,33140,Spécialiste en Médecine Générale,non
810002771300,TARDIVO,VERONIQUE,,CABINET DU DR VERONIQUE TARDIVO,33550,Villenave-d'Ornon,33140,Spécialiste en Médecine Générale,non
810002810769,MOLIEXE,KARL,,CABINET DU DR KARL MOLIEXE,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002775590,LATREYTE,PHILIPPE,,CABINET DU DR PHILIPPE LATREYTE,33051,Biganos,33380,Spécialiste en Médecine Générale,non
810002812468,TISON,FRANCOIS,330783648,HOPITAL HAUT-LEVEQUE - CHU,33318,Pessac,33604,Neurologie,oui
810002741451,ARNAUD,JEAN-FRANCOIS,,CABINET DU DR JEAN-FRANCOIS ARNAUD,33063,Bordeaux,33800,Spécialiste en Médecine Générale,non
810003429437,LINDEROTH,HANS,,CABINET DU DR HANS LINDEROTH,33477,Saint-Seurin-de-Cursac,33390,Spécialiste en Médecine Générale,non
810002932076,BARRET,THIERRY,,SGAP,33063,Bordeaux,33041,Spécialiste en Médecine Générale,non
810100548063,BECHEREAU,FRANCK,330780479,POLYCLIN BORDEAUX-NORD AQUITAINE,33063,Bordeaux,33300,Spécialiste en Médecine Générale,oui
810002810769,MOLIEXE,KARL,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810100584589,VASSY,CAMILLE,330798679,EHPAD  LES ROSES DU BASSIN,33529,La Teste-de-Buch,33260,Spécialiste en Médecine Générale,oui
810002756673,UGE,FRANCIS-PHILIPPE,,CABINET DU DR FRANCIS-PHILIPPE UGE,33063,Bordeaux,33200,Spécialiste en Médecine Générale,non
810100326817,PILET,GREGORY,,CABINET DU DR GREGORY PILET,33318,Pessac,33600,Spécialiste en Médecine Générale,non
810002720299,HALAY,HELENE,,CABINET DU DR HELENE HALAY,33243,Libourne,33500,Spécialiste en Médecine Générale,non
810002775780,DEBOST,FRANCOISE,,CABINET DU DR FRANCOISE DEBOST,33122,Cestas,33610,Spécialiste en Médecine Générale,non
810100584365,LOISEL,AUDREY,,CABINET DU DR DAMIEN BERTRAND,33140,Créon,33670,Spécialiste en Médecine Générale,non
810002768306,GAUJARD,ERIC,,CABINET DU DR ERIC GAUJARD,33063,Bordeaux,33200,Neurologie,non
810004075932,ROMEO,MIGUEL,330781626,CLINIQUE ROSE DES SABLES,33527,Le Teich,33470,Spécialiste en Médecine Générale,oui
810002744240,DUBON,THIERRY,,CABINET DU DR THIERRY DUBON,33063,Bordeaux,33200,Spécialiste en Médecine Générale,non
810001400687,OUALLET,JEAN-CHRISTOPHE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Neurologie,oui
810004626296,FONTENAS,EMMANUEL,,CABINET DU DR EMMANUEL FONTENAS,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810002746328,LACOUME,DANIEL,,CABINET DU DR DANIEL LACOUME,33069,Le Bouscat,33110,Spécialiste en Médecine Générale,non
810002814860,VANDERSNICKT,GERALDINE,,CABINET DU DR GERALDINE VANDERSNICKT,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810003942314,FLIPOT,PHILIPPE,,CABINET DU DR PHILIPPE FLIPOT,33342,Puisseguin,33570,Spécialiste en Médecine Générale,non
810002751245,HENEIN,SAMUEL,,CABINET DU DR SAMUEL HENEIN,33376,Saint-Aubin-de-Médoc,33160,Spécialiste en Médecine Générale,non
810002752664,PERREIN,JEAN-BERNARD,,CABINET DU DR JEAN-BERNARD PERREIN,33063,Bordeaux,33100,Spécialiste en Médecine Générale,non
810002763513,SIRBEN,CHRISTOPHE,,CABINET DU DR CHRISTOPHE SIRBEN,33042,Belin-Béliet,33830,Spécialiste en Médecine Générale,non
810100521300,NGUYEN,THI DUC THAO,,CABINET DU DR THI DUC THAO NGUYEN,33005,Andernos-les-Bains,33510,Spécialiste en Médecine Générale,non
810002777182,CHEFNOURRY,VIRGINIE,,CABINET DU DR VIRGINIE CHEFNOURRY,33522,Talence,33400,Spécialiste en Médecine Générale,non
810100872059,BARDOU,JULIE,330802356,CENTRE DEPARTEMENTAL PMI,33063,Bordeaux,33074,Spécialiste en Médecine Générale,oui
810100450138,FONTES,BENJAMIN,,CABINET DU DR BENJAMIN FONTES,33535,Tresses,33370,Spécialiste en Médecine Générale,non
810100919918,MICOULAUD,JEAN-BASTIEN,,CABINET DU DR JEAN-BASTIEN MICOULAUD,33012,Arsac,33460,Spécialiste en Médecine Générale,non
810100402394,LAFFOND,JOSSELIN,330783648,HOPITAL HAUT-LEVEQUE - CHU,33318,Pessac,33604,Spécialiste en Médecine Générale,oui
810003854220,FRIED,MARIE-REGINE,330056763,CSAPA GENERALISTE - ANPAA,33063,Bordeaux,33000,Spécialiste en Médecine Générale,oui
810100284818,PAPON,PIERRE,,CABINET DU DR PIERRE PAPON,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810100492502,PATANCHON,STEPHANE,,CABINET DU DR STEPHANE PATANCHON,33529,La Teste-de-Buch,33260,Spécialiste en Médecine Générale,non
810100272441,BROUSSIN,PIERRE,,CABINET DU DR PIERRE BROUSSIN,33069,Le Bouscat,33110,Spécialiste en Médecine Générale,non
810002814001,COULIBALY,MAIMOUNA,,CABINET DU DR MAIMOUNA COULIBALY,33063,Bordeaux,33800,Spécialiste en Médecine Générale,non
810001142511,DUBOIS,CORINNE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810002774213,LAMOULIE-DORBESSAN,MARTINE,,CABINET DU DR MARTINE LAMOULIE-DORBESSAN,33550,Villenave-d'Ornon,33140,Spécialiste en Médecine Générale,non
810002768801,MERLAUD,ALAIN,,CABINET DU DR ALAIN MERLAUD,33318,Pessac,33600,Spécialiste en Médecine Générale,non
810100495687,MONNIER,PAULINE,,L'ESTEY,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002728680,FAYARD,SYLVIE,,CABINET DU DR SYLVIE FAYARD,33065,Bouliac,33270,Spécialiste en Médecine Générale,non
810002747870,MANUEL,JEAN-PIERRE,330783093,IME  DE ST EMILION,33394,Saint-Émilion,33330,Spécialiste en Médecine Générale,oui
810004408729,PEYROU,HELENE,330802356,CENTRE DEPARTEMENTAL PMI,33063,Bordeaux,33074,Spécialiste en Médecine Générale,oui
810100260669,CHANE-WOON-MING,KRISTEL,,CABINET DU DR KRISTEL CHANE-WOON-MING,33063,Bordeaux,33800,Spécialiste en Médecine Générale,non
810100038610,MAHE,LARISA,,CABINET DU DR LARISA MAHE,33314,Pauillac,33250,Spécialiste en Médecine Générale,non
810002810066,CHEMIN,FREDERIC,,CABINET DU DR FREDERIC CHEMIN,33051,Biganos,33380,Spécialiste en Médecine Générale,non
810002769585,DUVIGNAU-GRANDJEAN,BRUNO,,CABINET DU DR BRUNO DUVIGNAU-GRANDJEAN,33009,Arcachon,33120,Spécialiste en Médecine Générale,non
810001374882,GUEHL,DOMINIQUE,330783648,HOPITAL HAUT-LEVEQUE - CHU,33318,Pessac,33604,Neurologie,oui
810100260719,LECANTE,MARION,,SCP DRS FERRARIS COUSIN-MAIRE DAULOUEDE LECANTE ET PETRIAT,33063,Bordeaux,33300,Spécialiste en Médecine Générale,non
810100742625,KNAFO,LOUISE,,CABINET DU DR LOUISE KNAFO,33337,Preignac,33210,Spécialiste en Médecine Générale,non
810005171011,FRANC,SEBASTIEN,330780495,CLINIQUE MUTUALISTE DU MEDOC,33240,Lesparre-Médoc,33340,Spécialiste en Médecine Générale,oui
810005165948,DE BUCY,GONZAGUE,,CABINET DU DR GONZAGUE DE BUCY,33042,Belin-Béliet,33830,Spécialiste en Médecine Générale,non
810004393848,RAPIDIE,GAELLE,,CABINET DU DR GAELLE RAPIDIE,33063,Bordeaux,33000,Spécialiste en Médecine Générale,non
810002746666,LION,ALBERT,,PREFECTURE DE LA GIRONDE,33063,Bordeaux,33077,Spécialiste en Médecine Générale,non
810002769825,CELS,OLIVIER,,CABINET DU DR OLIVIER CELS,33243,Libourne,33500,Spécialiste en Médecine Générale,non
810002825486,CHAVANE,GEORGES,,CABINET DU DR GEORGES CHAVANE,33318,Pessac,33600,Spécialiste en Médecine Générale,non
810003738167,VERHOEFF,THIERRY,,CABINET DU DR THIERRY VERHOEFF,33193,Grayan-et-l'Hôpital,33590,Spécialiste en Médecine Générale,non
810002763638,LE VIGOUROUX,VIVIANE,,CABINET DU DR VIVIANE LE VIGOUROUX,33281,Mérignac,33700,Spécialiste en Médecine Générale,non
810003945937,LOUISET,PIERRE,,SELARL DU DOCTEUR LOUISET,33063,Bordeaux,33000,Neurologie,non
810100272011,ROMINGER,BERTRAND,,CABINET DU DR BERTRAND ROMINGER,33501,Saucats,33650,Spécialiste en Médecine Générale,non
810002769361,BUGEAUD,CATHERINE,330781360,GROUPE HOSPITALIER PELLEGRIN - CHU,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
810001498228,TALEB,RACHEL,330000639,CH CHARLES PERRENS,33063,Bordeaux,33076,Spécialiste en Médecine Générale,oui
